"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0009100","glycoprotein metabolic process","23/411","382/28832",0.0602094240837696,4.22374237270863,7.62749550517759,8.43594582082621e-09,3.50850986688162e-05,2.74035040032312e-05,"Insr/Galns/B4galt5/Phlda1/Gcnt2/Pmm1/Gusb/Soat1/Gxylt2/Dpagt1/Adamts7/Tmem258/Edem2/Gcnt1/Krtcap2/Glb1/Fut4/Mmp12/Ep300/Cytl1/Gmppb/Hs3st3b1/St6galnac4",23,"BP"
"GO:0032963","collagen metabolic process","11/411","127/28832",0.0866141732283465,6.0760580109968,6.89415031604137,2.18992622553362e-06,0.00455395158599716,0.00355690122736671,"Rcn3/Mrc2/Cygb/P3h3/Mmp19/Vim/Ctsk/Serpine1/Gli2/Mmp12/Ep300",11,"BP"
"GO:0009101","glycoprotein biosynthetic process","17/411","318/28832",0.0534591194968553,3.75020275750203,5.93034947725671,3.79707874832554e-06,0.00526401683809531,0.00411150351485355,"Insr/B4galt5/Phlda1/Gcnt2/Pmm1/Soat1/Gxylt2/Dpagt1/Tmem258/Gcnt1/Krtcap2/Fut4/Ep300/Cytl1/Gmppb/Hs3st3b1/St6galnac4",17,"BP"
"GO:0051216","cartilage development","14/411","235/28832",0.0595744680851064,4.17919966868561,5.88467638339287,8.03921257250037e-06,0.00610079047637735,0.00476507242634249,"Sox9/Tyms/Frzb/Ctsk/Evc/Bgn/Eif2ak3/Barx2/Adamts7/Fgf2/Col27a1/Gli2/Ep300/Cytl1",14,"BP"
"GO:0010506","regulation of autophagy","16/411","303/28832",0.0528052805280528,3.70433539704335,5.6907522542781,8.51893858467055e-06,0.00610079047637735,0.00476507242634249,"Tmem39a/Hmox1/Vps13d/Srebf1/Trem2/Fyco1/Sec22b/Sesn2/Pycard/Trib3/Qsox1/Atm/Slc7a5/Tpcn2/Mtcl1/Ep300",16,"BP"
"GO:0009636","response to toxic substance","14/411","238/28832",0.0588235294117647,4.12652068126521,5.82429568050444,9.28592444747171e-06,0.00610079047637735,0.00476507242634249,"Arnt2/Cygb/Esd/Prdx4/Tyms/Sesn2/Abcg2/Mt1/Arhgap33/Ephx1/Prkce/Penk/Gpx1/Selenos",14,"BP"
"GO:0001667","ameboidal-type cell migration","15/411","278/28832",0.0539568345323741,3.78511789108859,5.61130131691615,1.25914092204949e-05,0.00610079047637735,0.00476507242634249,"Sox9/Cygb/Cd63/Vim/Sema6d/Epb41l4b/Fam114a1/Sema4b/Tpbg/Fgf2/Serpine1/Prkce/Mmp12/Sema3e/Ptprg",15,"BP"
"GO:0031669","cellular response to nutrient levels","15/411","278/28832",0.0539568345323741,3.78511789108859,5.61130131691615,1.25914092204949e-05,0.00610079047637735,0.00476507242634249,"Cd68/Cpeb4/Srebf1/Ncoa1/Pdia3/Ctsk/Slc2a1/Sesn2/Eif2ak3/Klf10/Slc7a5/Penk/Kcnb1/Ep300/Myh13",15,"BP"
"GO:0032677","regulation of interleukin-8 production","8/411","78/28832",0.102564102564103,7.19495913656498,6.58821403409223,1.56336873222287e-05,0.00610079047637735,0.00476507242634249,"F2rl1/Anxa4/Pycard/Fadd/Serpine1/Tlr7/Il17d/Hspa1b",8,"BP"
"GO:0032637","interleukin-8 production","8/411","79/28832",0.10126582278481,7.10388370445656,6.53294949403365,1.71811388512227e-05,0.00610079047637735,0.00476507242634249,"F2rl1/Anxa4/Pycard/Fadd/Serpine1/Tlr7/Il17d/Hspa1b",8,"BP"
